time,user,user_id,name,text,loc,time_zone,statuses_count,followers_count,friends_count,source,lat,lon,mood
2012-04-20 09:07:41 -0400,_BreSoSincere,260544882,I Support Reggie,@I_spit_liric Man We Can Throw Them Bitches 131st In Harvard IT WHATEVER YOU WANNA DO lol.,Est 131st,Quito,6365,278,328,twicca,40.0692288,-85.9342284,2
2012-04-20 09:06:49 -0400,ianpatrickhines,418395255,Pat Hines,"The Harvard Business Review seems to think they can say, authoritatively, that only 36% of tweets are worth reading. http://t.co/8ZcUNrFk","Maryland, United States",Eastern Time (US & Canada),3487,205,117,TwitterforMac,39.0457549,-76.64127119999999,2
2012-04-20 09:06:49 -0400,KarisMichele,20437524,Karis Thoresen,"I'm at Harvard Business Publishing (Watertown, MA) http://t.co/TWNBPP1x",MA,Eastern Time (US & Canada),303,201,576,foursquare,42.4072107,-71.3824374,2
2012-04-20 09:06:41 -0400,HamtilConst,221896705,Paul Hamtil,"State of remodeling, LIRA indicators, & positive 2012 forecast from JCHS Harvard: http://t.co/q5kdv0Z4 #in","St. Louis, MO",Central Time (US & Canada),4401,1010,741,TweetButton,38.6270025,-90.19940419999999,2
2012-04-20 09:06:39 -0400,TimVitroph,519635818,Tim Vitroph,"RT @Harvard: Great Teachers. Excitement, engagement, and the power of ideas. Welcome to today's Harvard classroom. http://t.co/SVCLKsoy","Brussels, Belgium",Central Time (US & Canada),1840,18,14,SocialFlow,50.8503396,4.3517103,2
2012-04-20 09:06:37 -0400,RCTurkington,151497032,Robyn Turkington,"smoking weed under star projectors, I guess we'll never know what Harvard gets us",Belfast,,1741,157,114,TwitterforiPhone,54.59744329999999,-5.9340683,2
2012-04-20 09:05:57 -0400,Diplomat_APAC,39922594,The Diplomat ,"What is the future of U.S.-China Relations? An all-star panel met at @Harvard to find some answers: http://t.co/VO11l5hG
@HarvardEIRC","Tokyo, Japan",Tokyo,5914,10212,905,web,35.6894875,139.6917064,2
2012-04-20 09:05:53 -0400,ArchivalBiz,241641876,Laura C. Lorenzana,RT @UNICEF: Share thoughts on #socialmedia & its effect on humanitarian protection in this survey by @Harvard @HPCR: http://t.co/JdSdQ6EL #SahelNOW,Chicagoish,Central Time (US & Canada),14360,869,794,HootSuite,41.7435073,-88.0118473,2
2012-04-20 09:05:47 -0400,2dashtone,176542976,Parisian Tone,I favorited a @YouTube video http://t.co/vyxy5Yxh Rapper 50 Cent Thinks Like a Harvard Businessman,The City of Lights (Paris),Quito,2560,306,693,Google,38.205762,-84.2396835,2
2012-04-20 09:05:33 -0400,TotalTrafficCLE,249405759,TTN Cleveland,"#Cleveland accident. right lane blocked on I 77 NB after HARVARD AVE. Stop and go traffic from I-480 in #Independence, delay of 15 mins","Cleveland, OH",Eastern Time (US & Canada),3470,421,1,TTNCLEtraffic,41.4479,-81.6555,0
2012-04-20 09:05:10 -0400,helpIT,166678750,helpIT systems,RT @MDMGeek: What Makes a Great Tweet - Harvard Business : http://t.co/mbFTS6LB via @tamicann @jmsidhu,US & UK,Eastern Time (US & Canada),401,283,958,HootSuite,54.7231549,-5.782481,2
2012-04-20 09:05:08 -0400,HunterMFAThesis,419016115,Hunter MFA Thesis ,"Artist of the day ~ Seung-Min Lee
b. Seoul, South Korea 1981
Concentration at Hunter: Combined Media
AB, Harvard... http://t.co/bo12B14c","New York, New York",Central Time (US & Canada),350,86,113,Facebook,40.7143528,-74.00597309999999,2
2012-04-20 09:04:46 -0400,ThaRealDoctorJ,340650102,Joe Alexopoulos,#50LiesIWasTold your going to harvard,Goon town,Eastern Time (US & Canada),895,120,118,TwitterforiPhone,9.3844999,-12.273411,2
2012-04-20 09:04:41 -0400,johnkatcrittall,28133109,John Keleher,Harvard Business Review: The BlackBerry Can Be Saved http://t.co/DGU279Bl,"Colchester/Witham, Essex",London,10344,1825,2006,TwitterforAndroid,51.7978049,0.6372179,2
2012-04-20 09:04:07 -0400,HarvardMensGolf,390979071,Harvard Golf,"Back on the road, Harvard looks to bring home the title for the second straight year at the Century Intercollegiate #dagecity","Cambridge, MA",Quito,21,31,3,TwitterforiPhone,42.3736158,-71.10973349999999,2
2012-04-20 09:03:30 -0400,rana_im,142413864,Rana Abourjeily,"The secret of educating the next Steve Jobs? Play, passion, and purpose, says Harvard's Tony Wagner http://t.co/8x9bl1wH (via @brainpicker)",Lebanon,,315,183,113,TweetieforMac,33.854721,35.862285,2
2012-04-20 09:03:23 -0400,saxihighlandck,18931365,Sarah,Harvard is SO pedestrian. Oh Neal.,"Scottsdale, AZ",Arizona,18670,97,204,Echofon,33.4941704,-111.9260519,2
2012-04-20 09:02:39 -0400,mpinchock,151579842,Maureen Pinchock,How Mobile Technologies Are Shaping a New Generation - Tammy Erickson - via@HarvardBiz - Harvard Business Review: http://t.co/Hxvo6zZp,"Philadelphia, PA",,357,307,558,TweetButton,39.952335,-75.16378900000001,2
2012-04-20 09:02:37 -0400,blackstumpseo,304373827,Black Stump SEO,Harvard Business School's Content Strategy Is All About Storytelling #contentstrategy #harvard http://t.co/bcjRqcVT,"40.74152,-73.983948",Eastern Time (US & Canada),336,74,122,Buffer,40.7415994,-73.98388849999999,2
2012-04-20 09:02:25 -0400,TimVitroph,519635818,Tim Vitroph,"RT @Harvard: ""A Conversation with Henry Kissinger"" 4/11 @ 4 p.m. Free and open to all members of the Harvard community. For tix: http://t.co/FFJNNJlR","Brussels, Belgium",Central Time (US & Canada),1840,18,14,SocialFlow,50.8503396,4.3517103,2
2012-04-20 09:02:03 -0400,joefinley001,23317795,Joe Finley,The BlackBerry Can Be Saved - Stuart E. Jackson - Harvard Business Review http://t.co/U1iozQWA,"Detroit, MI",Central Time (US & Canada),762,150,480,LinkedIn,42.331427,-83.0457538,2
2012-04-20 09:01:24 -0400,HarvardDRCLAS,111120394,DRCLAS,This Week @ DRCLAS: 10th Annual #BrazilWeek at Harvard in CGIS South http://t.co/H1QkDvU0,"Cambridge, MA, USA",Eastern Time (US & Canada),86,194,17,HootSuite,42.3736158,-71.10973349999999,2
2012-04-20 09:01:18 -0400,roberttheakston,335489220,robert theakston,"@visualisingdata if you had to develop a library of info/design/visualization books ala Harvard Classics, what would that list include?",lexington kentucky,Eastern Time (US & Canada),557,59,71,web,38.0405837,-84.5037164,2
2012-04-20 09:01:03 -0400,peabodymuseum,62934403,Peabody Museum,#Trash Tales Discovery Room: One person's trash is another kid's toy #FamilyFun Friday & Saturday April 20-21 Noon-4 pm http://t.co/hRg9YXpE,"Harvard Square, Cambridge, MA",Eastern Time (US & Canada),880,2166,1518,HootSuite,42.3728174,-71.1219632,2
2012-04-20 09:00:52 -0400,jay_dilley,141679226,Jay Dilley,The BlackBerry Can Be Saved - Harvard Business Review: http://t.co/OSCRUwNx #turnaround,Yellowknife,Mountain Time (US & Canada),2629,125,43,TweetButton,62.45464800000001,-114.376469,2
2012-04-20 09:00:38 -0400,manzy718,30481226,MANZY MAYBACH MGP,David Banner to Speak at Harvard University (Blog) (@therealbanner): David Banner will be one of the speakers at... http://t.co/JzfT1XOk,BROOKLYN  BROWNSVILLE NY,,5656,921,2003,twitterfeed,40.66308,-73.9095279,2
2012-04-20 09:00:38 -0400,PhilthyAgenda,173376872,philthy agenda,David Banner to Speak at Harvard University (Blog) (@therealbanner): David Banner will be one of the speakers at... http://t.co/5wfPX7uw,world wide,,1384,244,672,twitterfeed,36.1550003,-95.8644018,2
2012-04-20 09:00:38 -0400,neli247,342518684,Lion Of Judah,David Banner will be one of the speakers at The LA Riots: Twenty Years Later Conference on April 27 and 28 at Ha... http://t.co/k6fgROGT,MALAYSIA,,18778,720,1055,twitterfeed,4.210484,101.975766,2
2012-04-20 09:00:37 -0400,238BEATSENT,224352977,238BEATS ENT,VLADTV David Banner to Speak at Harvard University (Blog) (@therealbanner): David Banner will be... http://t.co/Z77sAiLK #teamfollowback,NEW YORK,Eastern Time (US & Canada),22598,2449,2357,twitterfeed,40.7143528,-74.00597309999999,2
2012-04-20 09:00:20 -0400,Sidereusblog,377215531,Sidereus Nuncius,Einstein as a student http://t.co/Eswioy9h,"Brisbane, Australia",Hawaii,389,14,115,Facebook,-27.4709331,153.0235024,2
2012-04-20 09:00:02 -0400,famaluhotylaf,534563971,zenon,viagra stallion product team cialis harvard http://t.co/hDvUj2eI buy cheap viagra online next day delivery,"OK",,28,3,3,web,35.0077519,-97.092877,2
2012-04-20 08:59:11 -0400,RobinSelzer,112496886,Robin Selzer,Innovative teaching gets boost at Harvard http://t.co/CsSYNFJc STUDENTS LEARN DIFFERENTLY THAN THEY USED TO...,university of cincinnati,Eastern Time (US & Canada),772,240,434,TweetButton,39.1320826,-84.5164729,2
